Text,Imagepath,Text_label,Image_label,Multi_label
继乘风破浪的姐姐和劈荆斩棘的哥哥后，恭喜容嬷嬷在斩妖除魔的奶奶中C位出道#赵薇##范冰冰##林心如##容嬷嬷##吴签#,1999.jpg,1,1,1
#文心一言#据悉，百度智能云文心一言技术交流会正在全国重点城市火热开展。本次将于月日在北京二度召开，展示文心千帆大模型平台领先技术水平，携手产业伙伴共同开启全新AI生产力时代。,2000.jpg,0,0,0
感觉全微博都在用为什么不让我用#文心一言#,2001.jpg,0,0,0
Cute fanart #dreamfanart #dream #dreamwastaken #dnf #dreamnap #dreamteam #dtqk #dtqkisdead #ilovedream,2002.jpg,0,0,0
#文心一言#“如何成为一个快乐的大人”以及“每个人的价值”,2003.jpg,0,0,0
You’re in his DM’s and I’m in his “saved snaps” !! We’re not the same bro #komalika #SNAPCHATLEAKED #itiswhatitis #TrendingHot,2004.jpg,0,0,1
How Cute A House for sale in England comes with its own backyard CastleI love it I want it#House #Castle #forsale #England #Jojomarch61,2005.jpg,0,0,0
My ‘Sarcasm is just one of the services I have to offer’ black pen finally arrived  #LovePens #Pen ,2006.jpg,0,1,0
万单，小杨哥赚麻了罗永浩京东首播开门红TVB直播销售额破亿......#小杨哥##罗永浩##罗永浩入驻京东直播#,2007.jpg,0,0,0
#TodaysRant To Russia with love We will gladly send you our gun loving 2A enthusiasts. They seem to be enamored with you Russia. Please note these card carrying members of the NRA may not be aware of your EXTREMELY PROHIBITIVE GUN LAWS!  dies another day.,2008.jpg,1,1,1
【风凰人日常】#香港##突发事件##香港尖沙咀地盘发生火警#愿平安,2009.jpg,0,0,0
#突发事件#磴口两车相撞，直升机紧急救援！,2010.jpg,0,0,0
"gm gn  Mug #56 by @rodritoh89  full disclosure, I own 11's and editions by Rod, but his recent collection of mugs has me giggling left and right. I had to throw a bid on this beauty  instantly recognizable but more importantly, in the meme he's DRINKING COFFEE   12",2011.jpg,1,1,1
Am I the only one who sees the irony in sign placement here?  Advertising.  #SaturdayVibes #funniest #signs #laughing #ShowMeASign #MensPrivate #Sale #SaturdayMood #IsItJustMe  #SmileAgain #laughter #Macy #Shopping #SalesJobs,2012.jpg,1,1,1
I will preface this by saying that I do not condone any form of violence whatsoever.That being saidIt says a lot about #California as a State when literal convicts have more decency and morals than its “justice system”.#America #Clownworld #pedos ,2013.jpg,1,0,1
"See you all the other side of Pentecost! Morning worship, a wedding, first Lego Church and 5@5 cafe worship with @churchscotland Aberdeen West Parish Grouping. #busyday #onlyworkasunday  #blessingsonyoursunday #pentecost",2014.jpg,0,0,1
【灯光下的璀璨和背对阳光的艰难，英国城市的贫富差距能有多大】疫情下的马太效应致使英国的贫富差距日益增大。作为老牌的资本主义国家，英国在历史的长河中，复兴衰败又复兴，在几百年的时间里，英国的城市和格局同样被打磨出雏形了。有的城市笼罩在灯红酒绿的霓虹灯下，繁华而富足也有的...全文,2015.jpg,0,0,0
和我的凝凝@Ava霍水er#三里屯##太古里##闺蜜##最爱的##HM#,2016.jpg,0,0,0
