Text,Imagepath,Text_label,Image_label,Multi_label
#罗永浩道歉#最新回应新浪财经罗永浩.他们不是我的“前东家”，我才是他们的“前东家”。另外，锤科还在，只是被迫不做手机了。.骂我的锤科前同事才是“批评前东家”，但我觉得这次他骂的对。认为“前东家”不能骂的，都是令人作呕的奴才思想，封建思想余孽。.新浪财经牛逼，长期弄错事实，从来没见道过一次歉。#罗永浩##锤子手机# ,1.jpg,1,0,1
企业如何实际应用#文心一言#大模型？#百度#工程师首次现场演示文心千帆微调技术。大模型引发的AI再造产业趋势已经势不可挡。但当下企业最大的难题是，如何高效、低成本得获取大模型能力，如何挑选到最合适的大模型服务。  ,2.jpg,0,0,0
一个维埃拉三个#吴签#,3.jpg,0,0,0
... art Bart art or Bart art Bart? #streetart #art #Smile #TheSimpsons  #Fantasy #Graffiti #Mural #urbanart,4.jpg,1,1,1
httpsmixcloud.comdjfasteditsoundpoststonight19pmuspstlatenightravethebaysaturdaynightlive#djset #livemusic #liveset #dj #houseparty #housemusic #djlive #live #night #music #Rave #raveparty #party #saturdaynight #saturday #nightlife #nightout #music #livemusic #livestream,5.jpg,0,0,0
问了文心一言几个关于国漫的问题，回复还是有待改进啊。@若森老杨@若鸿文化#文心一言#国漫,6.jpg,0,0,0
"For decades, @USFDA?didn’t enforce their standard of identity for #milk. Now they posit #consumers are desensitized to #dairy pretenders’ deceptive use of the word in marketing. Cause  effect, perhaps? BTW rice is a grain not a shape.  #truthinlabeling #realmilk @nmpf",7.jpg,1,1,1
"Labour’s plan to block new oil and gas projects in the North Sea would cost every Scot 1,100It's the same old antibusiness agenda from the labour party#labour #oil #gas #jobs",8.jpg,0,0,0
以前知道ai厉害，没想到这么详细水课作业全自动化指日可待，而且生成大纲也不会有学术抄袭的问题，辅助神器啊啊啊，谁用谁知道，期末周救我狗命了真的。而且用来起英文名日文名罗马音也特别方便用的是oneai，就是图三这个app别下到盗版的了！#ai##AI##人工智能##ipad##ios##文心一言#,9.jpg,0,0,0
#鼠鼠我鸭#指鹿为马过时了，与时俱进，新“指鼠为鸭”上线！漂亮新物种新发现！还蛮可爱的呢,10.jpg,1,1,1
#hm声明引网友愤怒##hm碰瓷新疆棉花##央视评hm抵制新疆棉花##hm#就5年前万象城开业时的我。和hm,11.jpg,1,1,1
"Watched KSU board mtg re. @KyAuditorHarmon report on gross financial negligence. . Million$ KSU administration mismanaged while faculty, students, alums spend1,000s of VOLUNTEER hours for Retool Your School grant. #RYSKSU #WeCanDoBetter",12.jpg,1,0,1
Hm .. what is happening?  @TheBigMoneyShow @BrianBrenberg @RiggsReport @JackieDeAngelis,13.jpg,0,0,1
... truth #smile #Streetart #truth #message  #Banksy #Art #Mouse #Mural,14.jpg,1,1,1
"Some world leaders are now holding a copy of the world Igbo congress Letter oooooThe letter said Christians weren't allowed to vote in Nigeria yet  Christians voted in South East, South West South South I guess they aren't NIGERIANS.",15.jpg,1,0,1
#鼠鼠我鸭#学生老鼠头局长这就是鸭脖，小伙子你看错了学生没看错，这是老鼠头局长小伙子毕业证还没拿吧，你再看看是什么学生好像是是鸭脖,16.jpg,1,1,1
#锤子手机#pro开始清理库存促销了，看来下一代新的锤子手机要出来了。期待下。。。#坚果Pro#刚发布第一天就说销售了万台了。过了个月销售万台。赚钱了说明。不过离千万门槛还有距离，在如今的手机竞争市场环境下，这个销量还不足以站稳脚跟。继续加油吧。大爆炸还是很好用的。,17.jpg,0,0,0
#锤子手机#来了！武汉蔡甸街区,18.jpg,0,0,0
文心一言名字的来历？！#文心一言#,19.jpg,0,0,0
#罗永浩#除锤子和大家知道的明匠外，罗永浩还注册了其他几个商标，记得老罗说过品牌名字是要换的，那么你们觉得小野、千猿、满载，那个会成为下一个Smartisan手机的名字。,20.jpg,0,0,0
"#dream on stream i love you guys, i appreciate you guys, you guys are all so amazing, you guys are awesome... i learn to love and appreciate you guys more and more every day #dream on snap",21.jpg,0,0,0
百度#文心一言#的逻辑真是不管你怎么调教，只要问题重新问一遍，他的回答依然是一开始的那句话，人工智障名副其实。,22.jpg,1,0,1
把这几张图拼在一起真的特别讽刺特别心痛，最后一次周年，这一次“应援无用论”“周年无用论”“蓝海无用论”休想再来捣乱阳澄湖！！！！我很俗，我就希望我的宝贝可以最后一次周年演唱会上快乐唱跳，每一声都有回应，目光所至皆是蓝。,23.jpg,0,0,0
#文心一言#人工智能百度“文心一言”智能测试。请问，如何评价河北诗人孟醒石这首诗。前面那张图是问题，后面那张图是“文心一言”的回答。,24.jpg,0,0,0
