Text,Imagepath,Text_label,Image_label,Multi_label
"Rs 47,990  31% off  Rs 4000 bank discount on Honor MagicBook X14 2023Deal affiliate httpsamzn.to3WQj05X#deal #sale #discount #offer #honor #honormagicbookx14 #laptop #premiumlaptop #computer #pc #dell #hp #lenovo #acer #asus #samsung #apple #macbook",2665.jpg,0,0,0
"Oh thank goodness, I finally drew him. The card that will improve all of my decks. Thank you for this blessing and gift, #MarvelSnap. #worstcard",2666.jpg,0,0,1
Words are not enough to express how excited I am to have found what I consider to be the figure of the year nee the decade. @PlaymatesToys you knocked it out of the park! #TMNT  #DoBetter #OrLetSomeoneElseDoIt,2667.jpg,1,0,1
"#jobs #makemoneyonline #makemoneyfromhome   Chat for cash? Yes, please!  Don’t wait for that paycheck  make it arrive sooner.  If you are interested, then you need to watch the video  WATCH HERE httpsMiles.clickera.comchatjob",2668.jpg,0,0,0
#百度##文心一言#感觉百度的文心一言有些傻，问他消息来源，它不能提供。拿它和newbing做对比，它也无法给出回答。让它写一篇连云港园博园的报道，要求图文并茂，它也无法完成。,2669.jpg,0,0,0
Work hard give your  %  #fun ,2670.jpg,1,1,1
When you get lukewarm chilled latt to drink. #Oxymoron#DelhiSummer,2671.jpg,1,0,1
说的好像女的不用忙赚钱，而且职场对女性的打扮要求我就不说了,2672.jpg,1,0,1
#百度搜不到爱奇艺##爱奇艺##文心一言#不知道文心一言有没有胡说八道,2673.jpg,1,0,1
"分享一个好消息C咖和罗永浩交友成功！@交个朋友C咖，在清洁泥膜研发不断探索，个月迭代到第三代，累计售出万罐！深层清洁不伤肤，源头拦截油转黑头，一起见证成分与科技的力量。月日，记得来天猫“罗永浩直播间”，与我们交个朋友！关转赞，抽个小可爱送直播间C咖同款清洁泥膜！#世界很小,只留精华##罗永浩#O抽奖详情 ",2674.jpg,0,0,0
#鼠鼠我鸭#想到咱老板的这句歌词，真应景“法外无它，我配合你一下”“恶能美化，那鹿就是马”#涉事学校曾因老鼠事件被联合执法#,2675.jpg,1,0,1
"The Tory idea of privatising the Australian Public Service has worked so very well for Australia. $Billions in tax revenue lost forever and the consulting companies get off scot free, still operating as the quasi APS and charging $Millions for the opportunity. #auspol",2676.jpg,1,1,1
"Yes, he said it. I’m looking up the definition of racist just to make sure  ",2677.jpg,1,1,1
DO NOT TRIP ME WITH YOUR TAUNTSMY VEIN OF RESPECT MAY GET SNAPPED#taunt #taunts  #sarcasticmemes memes #sarcastic #respect #trip #trippy #vein #2lines #2liners #poetrylover #shayarilover #poetry #shayari #shayri #urdupoetry #poetrycommunity #urduadab #rekhta,2678.jpg,0,1,1
#House #front yard,2679.jpg,0,0,0
"Yes, you read that correctly. Garland is obviously a MAGAt.  Makes total sense. ",2680.jpg,1,1,1
#笑果#希望大家检举它，竟然它想要流量，这流量我们得给,2681.jpg,1,1,1
"Rs 42,990 21% off  Rs 3000 bank offer on ASUS Vivobook 15 2023, Intel13th GenDeal affiliate httpsamzn.to43qhGcD#deal #sale #discount #offer #asus #asusvivobook15 #laptop #pc #computer #office #student #school #college #lenovo #dell #hp #realme #tech #apple #samsung",2682.jpg,0,0,0
Finally home....now get comfortable.#mondaynight #afterhours #humor  #web3 #web3community #web3art #inspiration #digitalart #digitalartist #metaverse #metaversegeneration #metaversenft #nft #nftartist #nftart #crypto #cryptoart #nftcrypto #posterart #posterartist #art,2683.jpg,0,1,1
Rings. #cream #crossxdream #dreamsans #dreamtale #dream #undertale #undertaleau #crosssans #sanscest,2684.jpg,0,0,0
#Commonsense is conspicuous by its absence in the #world today. Most #scientists and #university #professors think that common people have no commonsense. And the common man who has common sense is scratching his head.  #facts #factorio #FactsNotFear #TruthMatters #Science,2685.jpg,1,1,1
"The great thing about living on the northern plains are the great spring temperatures we sometimes get.  Example, the minimums so far this morning.   #ndwx #mnwx #mtwx",2686.jpg,1,0,1
Just for #fun#jokes#comedy#Ckmkb,2687.jpg,0,1,1
#罗永浩##宁观新闻#该来的终于来了，中国电商的发展风向果然变了！双十二前夕，罗永浩旗下的交个朋友公司曝出一个大料，继双之后再次加码直播电商，成立了专注于淘宝直播业务的淘宝事业部。看似只是一家公司普通的组织变阵，实则背后透露出一个强烈的信号，那就是电商的打法变了，整个国内电商的发展风向已经变了。在过去的天猫双十一，个淘宝直播间成交额破亿，个淘宝直播间成交额在千万元。而罗永浩的直播间，在“粉丝增长”一项位居全平台第一在新主播成交额维度位列全平台第一。同时也是个“成交额破亿”的直播间之一。不仅是双十一，数据显示，过去一年，淘宝新增超过万名新主播，其中不乏罗永浩这样来自其他平台的头部主播。以前都说直播的尽头是带货，短视频平台会成为传统电商的新风口，现在回过头来才发现，原来直播的尽头还是淘宝。说到底，淘宝毕竟是掀起网上购物风潮的发源地，而建立在成熟电商基础设施之上的淘宝直播，有着最成熟的物流、售后、支付、仓储以及商家服务体系。换句话来说，短视频平台主播的需求都能在淘宝直播找到，也只有在这里才能最大程度的将流量变现。所以淘宝直播成为大家看好的新赛道，这并不意外。而直播成为电商行业的新打法，也是大势所趋，电商的发展本来就不应是一成不变的，只有跟随时代变化才能注入新动力，保持长足的竞争力，我们也相信这一切都是向好的。 ,2688.jpg,0,0,0
Oh boi! Things are getting real! #Steam,2689.jpg,0,0,0
Why are red states hiring much faster than blue states?This is the most interesting labor market analysis I've seen in months. Hint It mostly comes down to lower pay and higher job turnover in red stateshttpswashingtonpost.combusiness20230526hiringredbluestates via @andrewvandam #Jobs,2690.jpg,0,0,0
"#Biden to sent 31 #AbrahamTanks to #Ukraine. Get ready, Russia. This is going to hurt. Make sure you watch your water pipes. #FJB",2691.jpg,1,1,1
Russia We don't recognize the ICCEveryone to Putin Watch out visiting your 4 kids and Alina Kabaeva. #PutinWarCrimes ,2692.jpg,1,0,1
受邀参加百度文心一言的测评，测试了下当下火出圈的淄博烧烤事件，前后十多次的不同提示，它的回答简直让人无语，有点胡编乱造的赶脚，怀疑它的数据也是停留在两年前。最后一张是用chatGPT回答的，看懂的自行翻译吧。所以说，人工智能AI还有很大的差距，任重而道远！#AI##文心一言#O绿洲 ,2693.jpg,1,0,1
最近在思考一件事，数码博主为啥整天就是玩手机？有营养的东西在哪？数码真的这么窄吗？还是MCN为了商单造成了这个局面？车企开始削减预算手机品牌开始缩减预算初创产品刷单也消耗预算消费者听谁的才买对的不买贵的？#亿中国人面临隐性饥饿#钱，要挣没问题，可牛逼哄哄背后#锤子手机#的净化空气APP下架，这雾霾来了，咋办？#新能源汽车#补贴过了，一地鸡毛一堆车主怎么办？测评也好，给人安利好产品也罢可以摸摸良心吗？本人，汽车行业从业者爱好数码科技和摄影 ,2694.jpg,0,0,0
OK... yes  6% of US high school kids binge drink.  But alcohol companies don't market to teens.But 5.6% of US high school kids vape nicotine frequently.  This obviously proves vape firms market to teens. ,2695.jpg,1,1,1
Wow those two pictures together are powerful!@JohnFetterman get well soon! Your strength pushing forward shows.I too suffer from depression and support your fight!#IGetKnockedDownButIGetUpAgainI'm sure Republicans never get depressed ,2696.jpg,1,0,1
ChatGPT和文心一言为宝马写的新闻稿，比真人的公关团队强多了文心一言回答偏题了，问题是替写不是发表评论#chatgpt##文心一言##宝马mini道歉#,2697.jpg,0,0,0
#鼠鼠我鸭#尊的看起来就是杰瑞,2698.jpg,1,1,1
今晚直播调戏#文心一言#,2699.jpg,0,0,0
黑暗中的光#耐克#,2700.jpg,0,0,0
网页链接有名的，我非常尊重的学者，还在不停的书写，不说有没有人看，只是没有用。。。就这样了，那什么有用？减肥，变漂亮。。。打点botox，做做皮肤。。。一起变漂亮吧，夏天了，脱毛，减肥，运动。。。不是讽刺，是真的这么觉得。。。对于个体来说，知道的再多，也没有用。...全文,2701.jpg,0,0,0
#HM#这个质量真的是差差差差差，159的裤子已经不算便宜了，穿了三次就起球，洗了三次依然褪色，我真的佛了，搞成这样还吹什么性价比，以纯森马同价位不香吗，啊？,2702.jpg,0,0,0
#鼠鼠我鸭#你们两给我小心点不听话就把你们拿去做鸭脖,2703.jpg,1,0,1
"Business CV Template for MS Word, instant download httpsgosumocvtemplate.comproductbuycvtemplateedinburgh #jobs #jobsearch #resume",2704.jpg,0,0,0
罗永浩的直播公司上市了？“真还传”剧终，罗永浩更上一层楼。他的直播公司交个朋友，已经在港股上市了。月日，港股上市公司世纪睿科宣布，全资收购交个朋友公司，拥有“交个朋友”的核心IP和全部账号。同时，世纪睿科宣布更名为“交个朋友”，借壳上市达成。从英语培训学校到锤子手机，再到交个朋友，罗永浩多次创业，跌宕起伏，用自己的经历印证了“认真吹牛逼的人，终会变得牛逼”。我们更关心的是，交个朋友港股上市，将被拿来直接对标俞敏洪的新东方在线。目前，这两家公司市值相差倍。#俞敏洪##罗永浩##董宇辉# ,2705.jpg,0,0,0
